[2024-03-29 04:43:16,110: INFO: main: Welcome to our custom log]
[2024-03-30 00:36:31,360: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-03-30 00:36:31,369: INFO: common: yaml file: params.yaml loaded successfully]
[2024-03-30 00:36:31,374: INFO: common: created directory at: artifacts]
[2024-03-30 00:36:31,378: INFO: common: created directory at: artifacts/data_ingestion]
[2024-03-30 00:36:31,381: INFO: 986331348: Downloading data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2024-03-30 00:37:05,653: INFO: 986331348: Downloaded data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2024-03-30 01:45:15,074: INFO: main: >>>>>> stage Data Ingestion stage started <<<<<<]
[2024-03-30 01:45:15,077: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-03-30 01:45:15,079: INFO: common: yaml file: params.yaml loaded successfully]
[2024-03-30 01:45:15,080: INFO: common: created directory at: artifacts]
[2024-03-30 01:45:15,084: INFO: common: created directory at: artifacts/data_ingestion]
[2024-03-30 01:45:15,085: INFO: data_ingestion: Downloading data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2024-03-30 01:45:47,645: INFO: data_ingestion: Downloaded data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2024-03-30 01:45:48,558: INFO: main: >>>>>> stage Data Ingestion stage completed <<<<<<

x==========x]
[2024-03-30 02:15:35,947: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-03-30 02:15:35,961: INFO: common: yaml file: params.yaml loaded successfully]
[2024-03-30 02:15:35,965: INFO: common: created directory at: artifacts]
[2024-03-30 02:15:35,968: INFO: common: created directory at: artifacts/prepare_base_model]
[2024-03-30 02:15:56,012: WARNING: saving_utils: Compiled the loaded model, but the compiled metrics have yet to be built. `model.compile_metrics` will be empty until you train or evaluate the model.]
[2024-03-30 02:26:29,088: INFO: main: >>>>>> stage Data Ingestion stage started <<<<<<]
[2024-03-30 02:26:29,092: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-03-30 02:26:29,096: INFO: common: yaml file: params.yaml loaded successfully]
[2024-03-30 02:26:29,097: INFO: common: created directory at: artifacts]
[2024-03-30 02:26:29,098: INFO: common: created directory at: artifacts/data_ingestion]
[2024-03-30 02:26:29,099: INFO: data_ingestion: Downloading data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2024-03-30 02:27:08,364: INFO: data_ingestion: Downloaded data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2024-03-30 02:27:09,253: INFO: main: >>>>>> stage Data Ingestion stage completed <<<<<<

x==========x]
[2024-03-30 02:27:09,253: INFO: main: *******************]
[2024-03-30 02:27:09,254: INFO: main: >>>>>> stage Prepare base model started <<<<<<]
[2024-03-30 02:27:09,258: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-03-30 02:27:09,261: INFO: common: yaml file: params.yaml loaded successfully]
[2024-03-30 02:27:09,262: INFO: common: created directory at: artifacts]
[2024-03-30 02:27:09,263: INFO: common: created directory at: artifacts/prepare_base_model]
[2024-03-30 02:27:09,963: WARNING: saving_utils: Compiled the loaded model, but the compiled metrics have yet to be built. `model.compile_metrics` will be empty until you train or evaluate the model.]
[2024-03-30 02:27:10,320: INFO: main: >>>>>> stage Prepare base model completed <<<<<<

x==========x]
[2024-03-30 02:36:14,743: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-03-30 02:36:14,748: INFO: common: yaml file: params.yaml loaded successfully]
[2024-03-30 02:36:14,751: INFO: common: created directory at: artifacts]
[2024-03-30 03:12:29,042: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-03-30 03:12:29,051: INFO: common: yaml file: params.yaml loaded successfully]
[2024-03-30 03:12:29,054: INFO: common: created directory at: artifacts]
[2024-03-30 03:14:42,020: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-03-30 03:14:42,026: INFO: common: yaml file: params.yaml loaded successfully]
[2024-03-30 03:14:42,029: INFO: common: created directory at: artifacts]
[2024-03-30 03:16:12,108: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-03-30 03:16:12,114: INFO: common: yaml file: params.yaml loaded successfully]
[2024-03-30 03:16:12,118: INFO: common: created directory at: artifacts]
[2024-03-30 03:20:27,226: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-03-30 03:20:27,232: INFO: common: yaml file: params.yaml loaded successfully]
[2024-03-30 03:20:27,236: INFO: common: created directory at: artifacts]
[2024-03-30 03:22:43,256: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-03-30 03:22:43,264: INFO: common: yaml file: params.yaml loaded successfully]
[2024-03-30 03:22:43,268: INFO: common: created directory at: artifacts]
[2024-03-30 03:25:50,961: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-03-30 03:25:50,967: INFO: common: yaml file: params.yaml loaded successfully]
[2024-03-30 03:25:50,970: INFO: common: created directory at: artifacts]
[2024-03-30 03:25:50,973: INFO: common: created directory at: artifacts\training]
[2024-03-30 03:39:20,944: INFO: main: >>>>>> stage Data Ingestion stage started <<<<<<]
[2024-03-30 03:39:20,949: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-03-30 03:39:20,954: INFO: common: yaml file: params.yaml loaded successfully]
[2024-03-30 03:39:20,956: INFO: common: created directory at: artifacts]
[2024-03-30 03:39:20,957: INFO: common: created directory at: artifacts/data_ingestion]
[2024-03-30 03:39:20,958: INFO: data_ingestion: Downloading data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2024-03-30 03:39:51,404: INFO: data_ingestion: Downloaded data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2024-03-30 03:39:52,320: INFO: main: >>>>>> stage Data Ingestion stage completed <<<<<<

x==========x]
[2024-03-30 03:39:52,321: INFO: main: *******************]
[2024-03-30 03:39:52,321: INFO: main: >>>>>> stage Prepare base model started <<<<<<]
[2024-03-30 03:39:52,327: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-03-30 03:39:52,329: INFO: common: yaml file: params.yaml loaded successfully]
[2024-03-30 03:39:52,330: INFO: common: created directory at: artifacts]
[2024-03-30 03:39:52,332: INFO: common: created directory at: artifacts/prepare_base_model]
[2024-03-30 03:39:52,983: WARNING: saving_utils: Compiled the loaded model, but the compiled metrics have yet to be built. `model.compile_metrics` will be empty until you train or evaluate the model.]
[2024-03-30 03:39:53,331: INFO: main: >>>>>> stage Prepare base model completed <<<<<<

x==========x]
[2024-03-30 03:39:53,332: INFO: main: *******************]
[2024-03-30 03:39:53,332: INFO: main: >>>>>> stage Training started <<<<<<]
[2024-03-30 03:39:53,337: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-03-30 03:39:53,341: INFO: common: yaml file: params.yaml loaded successfully]
[2024-03-30 03:39:53,342: INFO: common: created directory at: artifacts]
[2024-03-30 03:39:53,343: INFO: common: created directory at: artifacts\training]
[2024-03-30 03:40:41,003: INFO: main: >>>>>> stage Training completed <<<<<<

x==========x]
[2024-03-30 04:38:48,802: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-03-30 04:38:48,811: INFO: common: yaml file: params.yaml loaded successfully]
[2024-03-30 04:38:48,814: INFO: common: created directory at: artifacts]
[2024-03-30 04:39:02,122: INFO: common: json file saved at: scores.json]
[2024-03-30 04:39:49,943: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-03-30 04:39:49,950: INFO: common: yaml file: params.yaml loaded successfully]
[2024-03-30 04:39:49,953: INFO: common: created directory at: artifacts]
[2024-03-30 04:40:01,873: INFO: common: json file saved at: scores.json]
[2024-03-30 04:42:14,414: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-03-30 04:42:14,421: INFO: common: yaml file: params.yaml loaded successfully]
[2024-03-30 04:42:14,425: INFO: common: created directory at: artifacts]
[2024-03-30 04:42:25,998: INFO: common: json file saved at: scores.json]
[2024-03-30 05:05:29,697: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-03-30 05:05:29,703: INFO: common: yaml file: params.yaml loaded successfully]
[2024-03-30 05:05:29,706: INFO: common: created directory at: artifacts]
[2024-03-30 05:05:41,573: INFO: common: json file saved at: scores.json]
[2024-03-30 05:30:42,375: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-03-30 05:30:42,384: INFO: common: yaml file: params.yaml loaded successfully]
[2024-03-30 05:30:42,387: INFO: common: created directory at: artifacts]
[2024-03-30 05:30:54,466: INFO: common: json file saved at: scores.json]
[2024-03-30 14:21:21,236: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-03-30 14:21:21,240: INFO: common: yaml file: params.yaml loaded successfully]
[2024-03-30 14:21:21,243: INFO: common: created directory at: artifacts]
[2024-03-30 14:24:47,127: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-03-30 14:24:47,130: INFO: common: yaml file: params.yaml loaded successfully]
[2024-03-30 14:24:47,132: INFO: common: created directory at: artifacts]
[2024-03-30 14:25:04,541: INFO: common: json file saved at: scores.json]
[2024-03-30 21:10:11,769: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-03-30 21:10:11,796: INFO: common: yaml file: params.yaml loaded successfully]
[2024-03-30 21:10:11,802: INFO: common: created directory at: artifacts]
[2024-03-30 21:10:27,905: INFO: common: json file saved at: scores.json]
[2024-03-30 21:10:32,951: WARNING: save: Found untraced functions such as _jit_compiled_convolution_op, _jit_compiled_convolution_op, _jit_compiled_convolution_op, _jit_compiled_convolution_op, _jit_compiled_convolution_op while saving (showing 5 of 14). These functions will not be directly callable after loading.]
